Approach,Opponent,Mean_Score,Cooperation_Rate,Training_Time
PPO,Tit-for-Tat,250.0,0.5,0
PPO,Always Cooperate,496.0,0.02,0
PPO,Always Defect,99.0,0.01,0
PPO,Random(p=0.5),249.1120452880859,0.479,0
PPO,Pavlov,250.0,0.5,0
PPO,Grudger,152.0,0.01,0
PPO,GTFT(p=0.1),315.3580017089844,0.826,0
EVOLUTION,Tit-for-Tat,263.08,0.6209,0
EVOLUTION,Always Cooperate,400.0,0.5,0
EVOLUTION,Always Defect,99.62,0.0038,0
EVOLUTION,Random(p=0.5),234.93,0.4273,0
EVOLUTION,Pavlov,263.04,0.6196,0
EVOLUTION,Grudger,101.67,0.0222,0
EVOLUTION,GTFT(p=0.1),273.31,0.6119,0
TRANSFORMER,Tit-for-Tat,262.44,0.7232,0
TRANSFORMER,Always Cooperate,421.52,0.3924,0
TRANSFORMER,Always Defect,68.5,0.315,0
TRANSFORMER,Random(p=0.5),194.58,0.7018,0
TRANSFORMER,Pavlov,265.38,0.7466,0
TRANSFORMER,Grudger,29.44,0.749,0
TRANSFORMER,GTFT(p=0.1),277.32,0.7806,0
